"","X","Column1","study","year","active_type","control_type","psy_or_med","descr_active","descr_control","instrument","instrument_name","instrument_value","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","responders_active","responders_control","resp_rate_active","resp_rate_control","resp_rate_active_completers","resp_rate_control_completers","responders_active_30","responders_control_30","responders_active_35","responders_control_35","...49","percent_women","cuij_responders_active","cuij_responders_control","time_weeks","comorbid_mental","comorbid_mental.","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","comorbid_mental?","cohens_d_active","cohens_d_control","study_ID","cip_change_actv","cip_change_sd_actv","cip_change_n_actv","ae_dropouts_actv","ae_dropouts_n_actv","cip_responders_actv","cip_responders_n_actv","cip_responders_n_missing_actv","all_cause_dropouts_actv","all_cause_dropouts_n_actv","suicides_actv","suicide_n_actv","cip_change_ctrl","cip_change_sd_ctrl","cip_change_n_ctrl","ae_dropouts_ctrl","ae_dropouts_n_ctrl","cip_responders_ctrl","cip_responders_n_ctrl","cip_responders_n_missing_ctrl","all_cause_dropouts_ctrl","all_cause_dropouts_n_ctrl","suicides_ctrl","suicide_n_ctrl","change_active","change_control","scale_min","scale_max","perc_baseline_mean_active","perc_baseline_sd_active","perc_baseline_mean_control","perc_baseline_sd_control","perc_post_mean_active","perc_post_sd_active","perc_post_mean_control","perc_post_sd_control","baseline_st_error_active","baseline_st_error_control","new_study_id"
"27",76,76,"Durgam","2018","Vilazodone (15mg)","Placebo",0,"Vilazodone (15mg)","Placebo","CDRS","cdrs",1,"clinician",57.8,8.7,175,57.5,8.6,171,33.8,12,174,34,12.9,170,-22.9,11.87,174,-22.5,11.73,170,"CDRS ≥40% improvement from baseline",83,174,0.477011494252874,80,170,0.470588235294118,55,56,0.314285714285714,0.327485380116959,0.316091954022989,0.329411764705882,126,116,105,94,NA,NA,NA,NA,8,"missing","missing","USA","12 to 17",14.9,1.6,14.9,1.7,15,NA,58.9,60.2,"mdd","52",NA,NA,-2.31884057971015,-2.18604651162791,"Durgam_2018_Vilazodone (15mg)_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.425,0.090625,0.421875,0.0895833333333333,0.175,0.125,0.177083333333333,0.134375,0.657658183036055,0.65765843709561,"Durgam, 2018"
"28",74,74,"Durgam","2018","Vilazodone (30mg)","Placebo",0,"Vilazodone (30mg)","Placebo","CDRS","cdrs",1,"clinician",56.8,8.5,180,57.5,8.6,171,32.5,11.5,180,34,12.9,170,-24.2,12.07,180,-22.5,11.73,170,"CDRS ≥40% improvement from baseline",103,180,0.572222222222222,80,170,0.470588235294118,67,55,0.372222222222222,0.321637426900585,0.372222222222222,0.323529411764706,131,115,124,113,NA,NA,NA,NA,8,"missing","missing","USA","12 to 17",14.6,1.6,14.9,1.7,15,NA,59.4,60.2,"mdd","52",NA,NA,-2.43,-2.18604651162791,"Durgam_2018_Vilazodone (30mg)_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.414583333333333,0.0885416666666667,0.421875,0.0895833333333333,0.161458333333333,0.119791666666667,0.177083333333333,0.134375,0.63355259362494,0.65765843709561,"Durgam, 2018"
"29",13,13,"Emslie","1997","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",58.5,10.5,48,57.6,10.4,48,38.4,14.8,34,47.1,17,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4,0.270833333333333,0.0833333333333333,0.382352941176471,0.153846153846154,18,10,16,5,NA,NA,NA,NA,8,"y","Dysthymia, anxiety disordes, ADHD, oppositional/conduct disorder","USA","7 to 17",12.2,2.7,12.5,2.6,NA,NA,46,46,"mdd","1",NA,NA,-1.58893280632411,-0.766423357664234,"Emslie_1997_Fluoxetine_Placebo",-20.1,13.19,48,4,48,27,48,0,14,48,2,48,-10.5,14.84,48,1,48,16,48,0,22,48,2,48,NA,NA,17,113,0.432291666666667,0.109375,0.422916666666667,0.108333333333333,0.222916666666667,0.154166666666667,0.313541666666667,0.177083333333333,1.51554445662277,1.50111069989303,"Emslie, 1997"
"30",16,16,"Emslie","2002a","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",57.1,9.9,109,55.1,11.8,110,35.1,13.5,109,40.2,13.5,105,NA,NA,NA,NA,NA,NA,"30% improvement in CDRS",71,109,0.651376146788991,54,101,0.534653465346535,29,15,0.26605504587156,0.136363636363636,0.26605504587156,0.142857142857143,64,49,63,39,NA,NA,NA,NA,9,"y","ADHD, oppositional defiant disorder, conduct disorder","USA","8 to 17",12.7,2.46,12.69,2.67,NA,NA,49.5,49.5,"mdd","15",NA,NA,-1.88034188034188,-1.17786561264822,"Emslie_2002a_Fluoxetine_Placebo",-22,12.11,109,5,109,37,109,0,19,109,6,109,-14.9,12.74,105,9,110,17,101,9,42,110,6,110,NA,NA,17,113,0.417708333333333,0.103125,0.396875,0.122916666666667,0.188541666666667,0.140625,0.241666666666667,0.140625,0.94824802236894,1.1250858553098,"Emslie, 2002a"
"31",19,19,"Emslie","2002b","Nefazodone","Placebo",0,"Nefazodone","Placebo","CDRS","cdrs",1,"clinician",NA,9.32875,99,NA,9.29964285714286,96,NA,10.8323214285714,99,NA,10.8732142857143,96,-26.5,NA,99,-22.5,NA,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"missing",NA,"USA","12 to 17",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,"Emslie_2002b_Nefazodone_Placebo",-26.5,14.46,99,4,99,61,99,0,27,99,0,99,-22.5,14.46,96,2,96,40,96,0,39,96,0,96,NA,NA,17,113,NA,0.0971744791666667,NA,0.0968712797619048,NA,0.112836681547619,NA,0.113262648809524,0.937574651909937,0.949140824588262,"Emslie, 2002b"
"32",22,22,"Emslie","2006","Paroxetine","Placebo",0,"Paroxetine","Placebo","CDRS","cdrs",1,"clinician",60.7,9.37,101,62.6,8.96,102,38.12,9.37,101,39.22,8.96,100,-22.58,14.77,101,-23.38,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","adhd","USA + Canada","7 to 17",11.9,3,12.1,2.95,12,2.97,46.8,46.8,"mdd","40",NA,NA,-2.40981856990395,-2.609375,"Emslie_2006_Paroxetine_Placebo",-22.58,14.77,101,9,104,49,101,3,34,104,2,104,-23.38,16,100,2,102,46,100,2,23,102,1,102,NA,NA,17,113,0.455208333333333,0.0976041666666667,0.475,0.0933333333333333,0.22,0.0976041666666667,0.231458333333333,0.0933333333333333,0.93234984722676,0.8871721985071,"Emslie, 2006"
"33",24,24,"Emslie","2007a","Venlafaxine","Placebo",0,"Venlafaxine","Placebo","CDRS","cdrs",1,"clinician",54.4,13.19,80,54.4,12.82,85,36.3,13.19,68,38.3,12.82,73,NA,NA,NA,NA,NA,NA,"35% improvement from baseline score",43,68,0.632352941176471,37,73,0.506849315068493,22,13,0.275,0.152941176470588,0.323529411764706,0.178082191780822,44,36,27,24,NA,NA,NA,NA,8,"n",NA,"USA","7 to 17",NA,2.6,NA,2.6,NA,NA,NA,NA,"mdd","50",NA,NA,-1.37225170583776,-1.25585023400936,"Emslie_2007a_Venlafaxine_Placebo",-18.1,12.86,68,NA,NA,26,65,NA,NA,NA,3,86,-16.1,12.9,73,NA,NA,28,70,NA,NA,NA,0,81,NA,NA,17,113,0.389583333333333,0.137395833333333,0.389583333333333,0.133541666666667,0.201041666666667,0.137395833333333,0.221875,0.133541666666667,1.47468683116111,1.39052423461759,"Emslie, 2007a"
"34",25,25,"Emslie","2007b","Venlafaxine","Placebo",0,"Venlafaxine","Placebo","CDRS","cdrs",1,"clinician",57.3,13.06,102,57.3,13.43,94,32.7,13.06,101,34.5,13.43,92,NA,NA,NA,NA,NA,NA,"35% improvement from baseline score",77,101,0.762376237623762,62,92,0.673913043478261,30,29,0.294117647058824,0.308510638297872,0.297029702970297,0.315217391304348,70,67,72,51,NA,NA,NA,NA,8,"n",NA,"USA","7 to 17",NA,2.6,NA,2.6,NA,NA,NA,NA,"mdd","50",NA,NA,-1.88361408882083,-1.69769173492182,"Emslie_2007b_Venlafaxine_Placebo",-24.3,12.66,101,NA,NA,59,101,NA,NA,NA,5,95,-22.6,13.52,92,NA,NA,51,92,NA,NA,NA,0,103,NA,NA,17,113,0.419791666666667,0.136041666666667,0.419791666666667,0.139895833333333,0.163541666666667,0.136041666666667,0.182291666666667,0.139895833333333,1.29313269112754,1.38519873372556,"Emslie, 2007b"
"35",28,28,"Emslie","2009","Escitalopram","Placebo",0,"Escitalopram","Placebo","CDRS","cdrs",1,"clinician",57.6,8.19,154,56,8.27,157,35.5,8.19,NA,37.2,8.27,NA,-22.1,15.14,154,-18.8,15.91,157,"40% improvement from baseline score",91,154,0.590909090909091,76,157,0.484076433121019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"y","ADHD, enuresis, GAD","USA","12 to 17",14.7,1.6,14.5,1.5,NA,NA,59.4,58.6,"mdd","40",NA,NA,-2.6984126984127,-2.273276904474,"Emslie_2009_Escitalopram_Placebo",-22.1,15.14,154,4,158,99,154,4,32,158,14,158,-18.8,15.91,157,1,158,83,157,1,25,158,15,158,NA,NA,17,113,0.422916666666667,0.0853125,0.40625,0.0861458333333333,0.192708333333333,0.0853125,0.210416666666667,0.0861458333333333,0.659969007536786,0.660017853454724,"Emslie, 2009"
"36",30,30,"Emslie","2014","Duloxetine","Placebo",0,"Duloxetine","Placebo","CDRS","cdrs",1,"clinician",59.3,10.9,108,58.2,9.4,122,35,10.9,105,37.4,9.4,117,-23.9,NA,105,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.69,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"n",NA,"USA, Mexico, Canada, Argentina","7 to 17",12.9,2.9,13.1,2.9,NA,NA,55.6,56.6,"mdd","60",NA,NA,-2.22935779816514,-2.21276595744681,"Emslie_2014_Duloxetine_Placebo",-24.26,13.53,219,19,224,151,219,5,68,224,28,224,-21.6,13.74,117,4,122,70,117,5,37,122,17,122,NA,NA,17,113,0.440625,0.113541666666667,0.429166666666667,0.0979166666666667,0.1875,0.113541666666667,0.2125,0.0979166666666667,1.04885298902782,0.851036012799674,"Emslie, 2014"
"37",31,31,"Emslie","2014","Duloxetine","Placebo",0,"Duloxetine","Placebo","CDRS","cdrs",1,"clinician",59.8,11,116,58.2,9.4,122,34.4,11,114,37.4,9.4,117,-24.6,NA,114,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.69,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"n",NA,"USA, Mexico, Canada, Argentina","7 to 17",12.9,2.9,13.1,2.9,NA,NA,40.5,56.6,"mdd","60",NA,NA,-2.30909090909091,-2.21276595744681,"Emslie_2014_Duloxetine_Placebo",-24.26,13.53,219,19,224,151,219,5,68,224,28,224,-21.6,13.74,117,4,122,70,117,5,37,122,17,122,NA,NA,17,113,0.445833333333333,0.114583333333333,0.429166666666667,0.0979166666666667,0.18125,0.114583333333333,0.2125,0.0979166666666667,1.02132435997379,0.851036012799674,"Emslie, 2014"
"38",32,32,"Emslie","2014","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",57.9,10.1,117,58.2,9.4,122,36.4,10.1,112,37.4,9.4,117,-22.6,NA,112,-21.6,NA,117,"50% improvement from baseline scores",NA,NA,0.61,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,"n",NA,"USA, Mexico, Canada, Argentina","7 to 17",13,3.2,13.1,2.9,NA,NA,52.1,56.6,"mdd","60",NA,NA,-2.12871287128713,-2.21276595744681,"Emslie_2014_Fluoxetine_Placebo",-22.6,13.44,112,6,117,68,112,5,33,117,15,117,-21.6,13.74,117,4,122,70,117,5,37,122,17,122,NA,NA,17,113,0.426041666666667,0.105208333333333,0.429166666666667,0.0979166666666667,0.202083333333333,0.105208333333333,0.2125,0.0979166666666667,0.933745330312469,0.851036012799674,"Emslie, 2014"
"39",NA,34,"Esposito-Smythers, 2019","2019","cbt","cau",1,"cbt","cau","cdi","cdi",5,"self-report",27,8.7,74,26.3,9.8,73,13.2,9.3,64,13.8,9.2,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,33,0.418918918918919,0.452054794520548,0.484375,0.532258064516129,NA,NA,NA,NA,31,76,25,21,NA,"y",NA,"us",NA,NA,NA,NA,NA,14.91,NA,NA,NA,"mood",NA,NA,"at least one of the following co-occurring riskfactors: a SA prior to the index admission, NSSI, or a substanceuse disorder",-1.53333333333333,-1.31578947368421,"Esposito-Smythers, 2019_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.8,-12.5,0,54,0.5,0.161111111111111,0.487037037037037,0.181481481481481,0.244444444444444,0.172222222222222,0.255555555555556,0.17037037037037,1.01135445707123,1.14700324252208,"Esposito-Smythers, 2019"
"40",33,33,"Findling","2009","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",53,9.84,18,53.94,9.84,16,34.6,13.66,18,31.31,13.68,16,-18.4,12.47,18,-22.63,12.48,16,"30% improvement from baseline",NA,NA,0.72,NA,16,0.81,5,9,0.277777777777778,0.5625,0.277777777777778,0.5625,10,11,12,9,NA,NA,NA,NA,8,"y","Substance-related disorder, ADHD, PTSD, conduct disorder","USA","12 to 17",16.55,1.11,16.35,1.08,16.46,1.08,22,6,"mdd","1",NA,NA,-1.56595744680851,-1.92431972789116,"Findling_2009_Fluoxetine_Placebo",-18.4,12.47,18,0,18,9,18,0,6,18,NA,NA,-22.63,12.48,16,0,16,6,16,0,3,16,NA,NA,NA,NA,17,113,0.375,0.1025,0.384791666666667,0.1025,0.183333333333333,0.142291666666667,0.1490625,0.1425,2.31931024229188,2.46,"Findling, 2009"
"41",86,86,"Findling","2020","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",58.1,8.3,97,57.7,9.2,182,34.7,12.8,97,37.8,13.7,182,-22.71,12.8,97,-20.3,1,182,"CDRS ≥40% improvement from baseline",46,84,0.547619047619048,67,155,0.432258064516129,35,41,0.360824742268041,0.225274725274725,0.360824742268041,0.225274725274725,69,96,46,98,NA,NA,NA,NA,8,"y","Learning disorders, ADHD, Communication disorders, oppositional defiant disorder, anxiety disorders","USA, Canada","7 to 17",13.2,2.8,13,2.9,13,NA,52.6,57,"mdd","60",NA,NA,-2.21800947867299,-1.73799126637555,"Findling_2020_Fluoxetine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.428125,0.0864583333333333,0.423958333333333,0.0958333333333333,0.184375,0.133333333333333,0.216666666666667,0.142708333333333,0.842737317060904,0.681949371328213,"Findling, 2020"
"42",84,84,"Findling","2020","Vilazodone","Placebo",0,"Vilazodone","Placebo","CDRS","cdrs",1,"clinician",58.5,9.4,186,57.7,9.2,182,37.2,14.2,186,37.8,13.7,182,-20.7,13.6,186,-20.3,1,182,"CDRS ≥40% improvement from baseline",81,158,0.512658227848101,67,155,0.432258064516129,53,48,0.28494623655914,0.263736263736264,0.28494623655914,0.263736263736264,127,106,102,87,NA,NA,NA,NA,8,"y","Learning disorders, ADHD, Communication disorders, oppositional defiant disorder, anxiety disorders","USA, Canada","7 to 17",13,2.9,13,2.9,13,NA,67.4,57,"mdd","60",NA,NA,-1.80508474576271,-1.73799126637555,"Findling_2020_Vilazodone_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.432291666666667,0.0979166666666667,0.423958333333333,0.0958333333333333,0.210416666666667,0.147916666666667,0.216666666666667,0.142708333333333,0.689241440600361,0.681949371328213,"Findling, 2020"
"43",98,98,"Forest","2020","Fluoxetine","Placebo",0,"Fluoxetine","Placebo","CDRS","cdrs",1,"clinician",61.5,9.32875,134,61.1,9.29964285714286,140,37.13,10.8323214285714,112,38.2,10.8732142857143,118,-24.37,11.85,112,-22.9,11.84,118,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n",NA,"USA, Puerto Rico","14 to 17",14.7,1.67,14.3,1.59,14.7,1.67,62.7,69.5,"mdd","49",NA,NA,-2.41753024747126,-2.27037745202181,"Forest_2020_Fluoxetine_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.463541666666667,0.0971744791666667,0.459375,0.0968712797619048,0.2096875,0.112836681547619,0.220833333333333,0.113262648809524,0.805881257514211,0.785963272816995,"Forest, 2020"
"44",96,96,"Forest","2020","Levomilnacipran (40mg)","Placebo",0,"Levomilnacipran (40mg)","Placebo","CDRS","cdrs",1,"clinician",61.8,9.32875,134,61.1,9.29964285714286,140,38.52,10.8323214285714,115,38.2,10.8732142857143,118,-23.28,11.9,115,-22.9,11.84,118,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n",NA,"USA, Puerto Rico","12 to 17",14.8,1.62,14.3,1.59,14.7,1.67,70.1,69.5,"mdd","49",NA,NA,-2.30940107349737,-2.27037745202181,"Forest_2020_Levomilnacipran (40mg)_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.466666666666667,0.0971744791666667,0.459375,0.0968712797619048,0.224166666666667,0.112836681547619,0.220833333333333,0.113262648809524,0.805881257514211,0.785963272816995,"Forest, 2020"
"45",97,97,"Forest","2020","Levomilnacipran (80mg)","Placebo",0,"Levomilnacipran (80mg)","Placebo","CDRS","cdrs",1,"clinician",59.4,9.32875,138,61.1,9.29964285714286,140,36.76,10.8323214285714,110,38.2,10.8732142857143,118,-22.64,11.74,110,-22.9,11.84,118,"missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,"n",NA,"USA, Puerto Rico","13 to 17",14.8,1.75,14.3,1.59,14.7,1.67,63,69.5,"mdd","49",NA,NA,-2.2459123841916,-2.27037745202181,"Forest_2020_Levomilnacipran (80mg)_Placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,113,0.441666666666667,0.0971744791666667,0.459375,0.0968712797619048,0.205833333333333,0.112836681547619,0.220833333333333,0.113262648809524,0.794115936131568,0.785963272816995,"Forest, 2020"
"46",NA,35,"Fristad, 2019","2019","cbt","other ctr",1,"cbt + placebo","placebo","cdrs-r","cdrs",1,"clinician",42,9,19,44,13,18,30,9,18,31,11,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,0.105263157894737,0.166666666666667,0.111111111111111,0.166666666666667,NA,NA,NA,NA,32,43.1,NA,NA,NA,"n",NA,"us",NA,11.7,2.1,11.1,2.4,11.6,2.1,NA,NA,"mood",NA,NA,NA,-1.33333333333333,-1.08333333333333,"Fristad, 2019_cbt + placebo_placebo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12,-13,17,113,0.260416666666667,0.09375,0.28125,0.135416666666667,0.135416666666667,0.09375,0.145833333333333,0.114583333333333,2.06474160483506,3.06412938514171,"Fristad, 2019"
"47",37,37,"Geller","1990","Nortriptyline","Placebo",0,"Nortriptyline","Placebo","CDRS","cdrs",1,"clinician",51.3,4.4,12,52.4,3.7,19,34.7,7.8,12,37.8,9.1,19,NA,NA,NA,NA,NA,NA,"CDRS score of ≤25",1,12,0.0833333333333333,4,19,0.210526315789474,2,1,0.166666666666667,0.0526315789473684,0.166666666666667,0.0526315789473684,7,9,5,4,NA,NA,NA,NA,8,"y","Melancholia, separation anxiety, antisocial behaviour","USA","12 to 17",14,1.7,14.4,1.6,14.3,1.5,75,42.1,"mdd","missing",NA,NA,-2.72131147540984,-2.28125,"Geller_1990_Nortriptyline_Placebo",-16.6,6.77,12,NA,NA,1,12,0,NA,NA,NA,NA,-13.6,7.93,19,NA,NA,4,19,0,NA,NA,NA,NA,NA,NA,17,113,0.357291666666667,0.0458333333333333,0.36875,0.0385416666666667,0.184375,0.08125,0.216666666666667,0.0947916666666667,1.27017059221718,0.848838215321079,"Geller, 1990"
"48",38,38,"Geller","1992","Nortriptyline","Placebo",0,"Nortriptyline","Placebo","CDRS","cdrs",1,"clinician",49.9,4.2,26,49.6,4.6,24,32.9,11.4,26,32,9.8,24,NA,NA,NA,NA,NA,NA,"CDRS score of ≤20",8,26,0.307692307692308,4,24,0.166666666666667,6,3,0.230769230769231,0.125,0.230769230769231,0.125,17,13,14,9,NA,NA,NA,NA,8,"n",NA,"USA","6 to 12",9.7,1.6,9.7,1.7,9.7,1.6,26.9,33.3,"mdd","missing",NA,NA,-2.17948717948718,-2.44444444444444,"Geller_1992_Nortriptyline_Placebo",-17,9.99,26,NA,NA,8,26,4,4,30,NA,NA,-17.6,8.49,24,NA,NA,4,24,6,6,30,NA,NA,NA,NA,17,113,0.342708333333333,0.04375,0.339583333333333,0.0479166666666667,0.165625,0.11875,0.15625,0.102083333333333,0.823687767580373,0.938971068066885,"Geller, 1992"
"49",NA,36,"Gillham, 2006","2006","cbt","cau",1,"cbt","cau","cdi","cdi",5,"self-report",13.19,7.81,147,12.57,7.17,124,11.55,8.21,112,11.37,7.9,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,23,0.197278911564626,0.185483870967742,0.258928571428571,0.221153846153846,NA,NA,NA,NA,33,53,31,27,NA,"n",NA,"us",NA,NA,NA,NA,NA,11.5,NA,NA,NA,"sub",NA,NA,NA,-0.204744069912609,-0.159256801592568,"Gillham, 2006_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.64,-1.2,0,54,0.244259259259259,0.14462962962963,0.232777777777778,0.132777777777778,0.213888888888889,0.152037037037037,0.210555555555556,0.146296296296296,0.644157943195854,0.643885007765988,"Gillham, 2006"
"50",40,40,"Hughes","1990","Imipramine","Placebo",0,"Imipramine","Placebo","CDRS","cdrs",1,"clinician",NA,9.32875,NA,NA,9.29964285714286,NA,NA,10.8323214285714,NA,NA,10.8732142857143,NA,NA,NA,NA,NA,NA,NA,"50% reduction in CDRS",4,7,0.571428571428571,1,5,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"y","Anxiety-related disorders (Group1) and Conduct or oppositional disorders (group2)",NA,"6 to 12",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,"Hughes_1990_Imipramine_Placebo",NA,NA,NA,NA,NA,6,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,0,NA,NA,NA,NA,NA,NA,17,113,NA,0.0971744791666667,NA,0.0968712797619048,NA,0.112836681547619,NA,0.113262648809524,NA,NA,"Hughes, 1990"
"51",41,41,"Hughes","1990","Imipramine","Placebo",0,"Imipramine","Placebo","CDRS","cdrs",1,"clinician",NA,9.32875,NA,NA,9.29964285714286,NA,NA,10.8323214285714,NA,NA,10.8732142857143,NA,NA,NA,NA,NA,NA,NA,"50% reduction in CDRS",2,6,0.333333333333333,6,9,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"y","Anxiety-related disorders (Group1) and Conduct or oppositional disorders (group2)",NA,"6 to 12",NA,NA,NA,NA,NA,NA,NA,NA,"mdd","missing",NA,NA,NA,NA,"Hughes_1990_Imipramine_Placebo",NA,NA,NA,NA,NA,6,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,14,0,NA,NA,NA,NA,NA,NA,17,113,NA,0.0971744791666667,NA,0.0968712797619048,NA,0.112836681547619,NA,0.113262648809524,NA,NA,"Hughes, 1990"
"52",NA,37,"Idsoe, 2019","2019","cbt","cau",1,"cbt","cau","ces-d","ces_d",11,"self-report",33.08,9.97,133,32.01,9.75,95,26.85,11.82,133,29.55,10.77,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,13,0.195488721804511,0.136842105263158,0.195488721804511,0.136842105263158,NA,NA,NA,NA,34,88,25,10,NA,"n",NA,"eu",NA,NA,NA,NA,NA,16.7,1.14,NA,NA,"cut",NA,NA,NA,-0.571821936668196,-0.239766081871345,"Idsoe, 2019_cbt_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.23,-2.46,0,60,0.551333333333333,0.166166666666667,0.5335,0.1625,0.4475,0.197,0.4925,0.1795,0.864508639615548,1.00032889328303,"Idsoe, 2019"
"53",NA,38,"Israel, 2013","2013","other psy","cau",1,"abft (attachment based family therapy)","cau","ham-d","hamd",2,"clinician",20.6,4.6,11,19.7,5.5,9,12.5,7.2,11,19.4,5.2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.363636363636364,0.111111111111111,0.363636363636364,0.111111111111111,NA,NA,NA,NA,35,55,4,0.2,NA,"n",NA,"eu",NA,NA,NA,NA,NA,15.6,0.99,NA,NA,"mdd",NA,NA,NA,-1.3728813559322,-0.0560747663551403,"Israel, 2013_abft (attachment based family therapy)_cau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1,-0.300000000000001,0,52,0.396153846153846,0.0884615384615385,0.378846153846154,0.105769230769231,0.240384615384615,0.138461538461538,0.373076923076923,0.1,1.38695218505771,1.83333333333333,"Israel, 2013"
