"","Column1","study","year","psy_or_med","active_type","control_type","descr_active","descr_control","instrument","rating","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","percent_women","responders_active","responders_control","cuij_responders_active","cuij_responders_control","country","comorbid_mental","comorbid_mental?","diagnosis","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall"
"102",109,"Stice, 2008","2008",1,"sup","cau","sup","assessment only","bdi","self-report",14.67,10.62,88,16.71,9.74,84,20.27,9.83,88,19.6,9.23,84,56,27,27,"30","20","us","n","NA","sub",NA,NA,NA,NA,15.6,1.2
"103",110,"Stice, 2008","2008",1,"sup","cau","sup","assessment only","K-SADS","clinician",1.62,0.33,88,1.7,0.36,84,1.84,0.37,88,1.8,0.3,84,56,0,2,NA,NA,"us","n","NA","sub",NA,NA,NA,NA,15.6,1.2
"104",111,"Stikkelbroek, 2020","2020",1,"cbt","cau","cbt","cau","K-SADS","clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,"eu","n","NA","mdd",16.9,2.2,16.3,2,16.6,2.1
"105",112,"Szigethy, 2007","2007",1,"cbt","cau","cbt","cau","cdi","self-report",10.7,8,21,16.7,11.1,19,25.7,10.8,22,21.8,8.1,19,51,11,6,"13","6","us","n","NA","sub",14.95,2.33,15.02,1.83,NA,NA
"106",113,"Szigethy, 2007","2007",1,"cbt","cau","cbt","cau","K-SADS","clinician",1,1.2,21,2.4,2.3,19,2.3,1.8,22,2.3,1.2,19,51,12,5,NA,NA,"us","n","NA","sub",14.95,2.33,15.02,1.83,NA,NA
"107",114,"Tang, 2009","2009",1,"ipt","cau","Intensive Interpersonal Psychotherapy for depressed adolescents with suicidal risk (IPT-A-IN)","school-based supportive intervention and psychoeducation","bdi-ii","self-report",19.97,14.68,35,31.58,12.01,38,32.66,10.06,35,32.32,8.7,38,66,17,3,NA,NA,"eas","y","suicidality","cut",15.26,1.7,15.24,1.65,NA,NA
"108",115,"Topooco, 2018","2018",1,"cbt","other ctr","cbt","attention control","bdi-ii","self-report",19.9,7.2,33,25.2,7.8,37,33.1,9.4,33,32.3,10.2,37,94,11,2,"17","6","eu","n","NA","cut",17.2,1,16.9,1.1,NA,NA
"109",116,"Topooco, 2018","2018",1,"cbt","other ctr","cbt","attention control","phq-9","self-report",9.7,2.9,33,10.8,3,37,15.2,4.8,33,14.9,5,37,94,7,2,NA,NA,"eu","n","NA","cut",17.2,1,16.9,1.1,NA,NA
"110",117,"Topooco, 2019","2019",1,"cbt","other ctr","icbt","minimal attention controlÂ ","bdi","self-report",16,11.3,31,24.8,10.4,35,31.6,10,35,28.8,7.9,35,96,12,4,NA,NA,"eu","n","NA","cut",17.5,1.1,17.5,1.2,NA,NA
"111",118,"Vostanis, 1996","1996",1,"cbt","other ctr","cbt","non-focused intervention","mfq","self-report",17.6,5.2,29,18.4,15.8,28,33.4,12.2,29,28.6,14.4,28,56,15,12,NA,NA,"uk","n","NA","mdd",NA,NA,NA,NA,12.7,NA
"112",119,"Vostanis, 1996","1996",1,"cbt","other ctr","cbt","non-focused intervention","mfq","parent_report",13.4,9.2,29,19.4,13.7,28,30,12,29,32.5,15.1,28,56,15,11,"13","11","uk","n","NA","mdd",NA,NA,NA,NA,12.7,NA
"113",120,"Weisz, 1997","1997",1,"cbt","cau","cbt","nt","cdrs-r","clinician",33.19,10.86,16,34.94,10.93,32,45.25,16.01,16,38.38,11.15,32,46,1,3,"3","2","us","n","NA","cut",9.4,NA,9.7,NA,9.6,NA
"114",121,"Weisz, 1997","1997",1,"cbt","cau","cbt","nt","cdi","self-report",7.06,6.12,16,11.81,10,32,18.63,5.32,16,17.81,10.05,32,46,8,15,NA,NA,"us","n","NA","cut",9.4,NA,9.7,NA,9.6,NA
"115",122,"Weisz, 2009","2009",1,"cbt","cau","cbt","cau","cdi","self-report",8,6.32,25,8.47,8.44,19,10.88,7.91,32,11.29,7.93,25,56,12,10,NA,NA,"us","n","NA","mood",NA,NA,NA,NA,11.77,2.14
"116",123,"Weisz, 2009","2009",1,"cbt","cau","cbt","cau","disc-c MDD symptom count","clinician",5.13,3.67,23,6.65,4.64,20,10.44,5.27,32,11.33,4.63,24,56,9,9,NA,NA,"us","n","NA","mood",NA,NA,NA,NA,11.77,2.14
"117",124,"Wood, 1996","1996",1,"cbt","other ctr","cbt","relaxing training","mfq","parent_report",14.9,10.4,24,19.8,13.3,24,25.8,9.8,24,28.7,11.6,24,69,17,15,NA,NA,"uk","n","NA","mood",13.8,1.7,14.6,1.6,NA,NA
"118",125,"Young, 2006","2005",1,"ipt","other ctr","ipt","school counseling","ces-d","self-report",6.4,4.8,27,17.4,10.5,14,24.1,6.9,27,27.4,6.6,14,85,24,7,"24","5","us","n","NA","cut",13.5,1.3,13.1,1.1,13.4,1.2
"119",126,"Young, 2010","2010",1,"ipt","cau","Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)","school counseling","ces-d","self-report",NA,NA,36,NA,NA,21,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,"us","n","NA","cut",14.57,0.68,14.52,0.87,14.51,0.76
"120",127,"Young, 2010","2010",1,"ipt","cau","Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)","school counseling","cdrs-r","clinician",NA,NA,36,NA,NA,21,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,"us","n","NA","cut",14.57,0.68,14.52,0.87,14.51,0.76
"121",128,"Young, 2016","2016",1,"ipt","other ctr","Interpersonal Psychotherapy-Adolescent Skills Training (IPT-AST)","group counselling","ces-d","self-report",11.12,8.57,93,12.62,9.28,90,15.51,8.52,95,15.07,8.65,91,67,29,29,"38","27","us","n","NA","cut",13.56,1.28,13.42,1.18,14.01,1.22
"122",129,"Yu, 2002","2002",1,"cbt","cau","cbt","nt","cdi","self-report",13.64,9.01,101,16.02,10.16,114,17.44,9.47,104,16.72,9.29,116,45,30,34,"30","26","eas","n","NA","cut",11.71,1.71,11.99,1.67,11.8,1.69
