"","Column1","study","year","psy_or_med","active_type","control_type","instrument","primary","hierarchy","rating","baseline_mean_active","baseline_sd_active","baseline_n_active","baseline_mean_control","baseline_sd_control","baseline_n_control","post_mean_active","post_sd_active","post_n_active","post_mean_control","post_sd_control","post_n_control","active_mean_change","active_sd_change","active_n_change","control_mean_change","control_sd_change","control_n_change","response_criterion","observed_responders_active","observed_responders_active_n","observed_resp_rate_active","observed_responders_control","observed_responders_control_n","observed_resp_rate_control","time","time_weeks","comorbid_mental","comorbid_mental?","country","age_group","age_m_active","age_sd_active","age_m_control","age_sd_control","age_m_overall","age_sd_overall","active_percent_women","control_percent_women","diagnosis","no_sites","Notes","responders_active","responders_control","responders_active_30","responders_control_30","responders_active_35","responders_control_35"
"61",61,"Puig-Antich","1987",0,"Imipramine","Placebo","K-SADS-L",1,1,"clinician",3.1,0.43,20,3,0.66,22,1.9,0.68,16,1.9,0.86,22,NA,NA,NA,NA,NA,NA,"Responder: if K-SADS scores in both depressed mood and anhedonia were ≤2. Non-responder: if K-SADS score for at least one of these two key items were ≥3.",9,16,NA,15,22,NA,"post",5,"n","NA","USA","missing",9.03,1.58,9.18,1.28,NA,NA,62.5,59,"mdd","33",NA,6,7,11,13,8,11
"62",62,"Von Knorring","2006",0,"Citalopram","Placebo","K-SADS-L",1,0,"clinician",32,5,124,32,5,120,NA,NA,79,NA,NA,74,NA,NA,NA,NA,NA,NA,"K-SADS depression and anhedonia scores ≤2",NA,NA,0.6,NA,NA,0.61,"post",12,"n","NA","European, multi-centered (31 recruitment sites)","13 to 18",16,1,16,1,16,1,NA,NA,"mdd","31",NA,NA,NA,NA,NA,NA,NA
"63",63,"Von Knorring","2006",0,"Citalopram","Placebo","MADRS",1,1,"clinician",30,5.5,124,30,5.5,120,NA,NA,79,NA,NA,74,NA,NA,NA,NA,NA,NA,"50% improvement from baseline",NA,NA,0.61,NA,NA,0.59,"post",12,"n","NA","European, multi-centered (31 recruitment sites)","13 to 18",16,1,16,1,16,1,NA,NA,"mdd","31",NA,NA,NA,NA,NA,NA,NA
"64",64,"Wagner","2003",0,"Sertraline","Placebo","CDRS",1,1,"clinician",64.3,11,189,64.6,11,187,NA,NA,185,NA,NA,179,-22.84,NA,NA,-20.19,NA,NA,"40% improvement",128,185,NA,106,179,NA,"post",10,"y","Most common were oppositional defiant disorder, anxiety, adjustment reaction and phobic disorders.","International (USA, India, Canada, Costa Rica, Mexico)","6 to 17",NA,NA,NA,NA,NA,NA,57.1,44.9,"mdd","53",NA,NA,NA,NA,NA,NA,NA
"65",65,"Wagner","2003",0,"Sertraline","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",117,185,NA,95,179,NA,"post",10,"y","Most common were oppositional defiant disorder, anxiety, adjustment reaction and phobic disorders.","International (USA, India, Canada, Costa Rica, Mexico)","7 to 17",NA,NA,NA,NA,NA,NA,57.1,44.9,"mdd","53",NA,NA,NA,NA,NA,NA,NA
"66",66,"Wagner","2004",0,"Citalopram","Placebo","CDRS",1,1,"clinician",58.8,10.9,89,57.8,11.1,85,NA,NA,89,NA,NA,85,NA,NA,NA,NA,NA,NA,"CDRS score ≤28",32,89,NA,20,85,NA,"post",8,"y","Dysthmia, enuresis","USA","7 to 17",12.1,3.1,12.1,2.8,12.1,NA,52.8,54.1,"mdd","21",NA,NA,NA,NA,NA,NA,NA
"67",67,"Wagner","2004",0,"Citalopram","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",42,89,NA,38,85,NA,"post",8,"y","Dysthmia, enuresis","USA","7 to 17",12.1,3.1,12.1,2.8,12.1,NA,52.8,54.1,"mdd","21",NA,NA,NA,NA,NA,NA,NA
"68",68,"Wagner","2006",0,"Escitalopram","Placebo","CDRS",1,1,"clinician",54.5,NA,131,56.6,NA,133,NA,NA,NA,NA,NA,NA,-21.9,NA,129,-20.2,NA,132,"CDRS score ≤28",59,129,NA,50,132,NA,"post",8,"y","Anxiety disorders (e.g. GAD, panic disorder, social phobia, specific phobia)","USA","6 to 17",12.2,2.9,12.4,3,12.3,3,51.9,51.9,"mdd","25",NA,NA,NA,NA,NA,NA,NA
"69",69,"Wagner","2006",0,"Escitalopram","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",81,129,NA,69,132,NA,"post",8,"y","Anxiety disorders (e.g. GAD, panic disorder, social phobia, specific phobia)","USA","6 to 17",12.2,2.9,12.4,3,12.3,3,51.9,51.9,"mdd","25",NA,NA,NA,NA,NA,NA,NA
"70",70,"Atkinson","2018",0,"Desvenlafaxine (high dose)","Placebo","CDRS",1,1,"clinician",58.45,9.45,121,57.28,8.94,119,NA,NA,NA,NA,NA,NA,-24.4,12.1,121,-22.9,12,119,"missing",NA,NA,NA,NA,NA,NA,"post",8,"y","ADHD, self-injurious behaviour, insomnia","USA, Chile","7 to 17",12.87,3.01,13.15,2.68,NA,NA,62.81,50,"mdd","42",NA,NA,NA,NA,NA,NA,NA
"71",71,"Atkinson","2018",0,"Desvenlafaxine (high dose)","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",66,106,0.623,57,102,0.559,"post",8,"y","ADHD, self-injurious behaviour, insomnia","USA, Chile","7 to 17",12.87,3.01,13.15,2.68,NA,NA,62.81,50,"mdd","42",NA,NA,NA,NA,NA,NA,NA
"72",72,"Atkinson","2018",0,"Desvenlafaxine (low dose)","Placebo","CDRS",1,1,"clinician",58.52,9.18,122,57.28,8.94,119,NA,NA,NA,NA,NA,NA,-23.7,12.05,120,-22.9,12,119,"missing",NA,NA,NA,NA,NA,NA,"post",8,"y","ADHD, self-injurious behaviour, insomnia","USA, Chile","7 to 17",13.07,2.8,13.15,2.68,NA,NA,56.56,50,"mdd","42",NA,NA,NA,NA,NA,NA,NA
"73",73,"Atkinson","2018",0,"Desvenlafaxine (low dose)","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",59,105,0.562,57,102,0.559,"post",8,"y","ADHD, self-injurious behaviour, insomnia","USA, Chile","7 to 17",13.07,2.8,13.15,2.68,NA,NA,56.56,50,"mdd","42",NA,NA,NA,NA,NA,NA,NA
"74",74,"Durgam","2018",0,"Vilazodone (30mg)","Placebo","CDRS",1,1,"clinician",56.8,8.5,180,57.5,8.6,171,32.5,11.5,180,34,12.9,170,-24.2,12.07,180,-22.5,11.73,170,"CDRS ≥40% improvement from baseline",103,180,0.632,80,170,0.559,"post",8,"missing","missing","USA","12 to 17",14.6,1.6,14.9,1.7,15,NA,59.4,60.2,"mdd","52",NA,67,55,131,115,124,113
"75",75,"Durgam","2018",0,"Vilazodone (30mg)","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.2,1,180,2.4,1.1,170,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",112,180,0.622,92,170,0.541,"post",8,"missing","missing","USA","12 to 17",14.6,1.6,14.9,1.7,15,NA,59.4,60.2,"mdd","52",NA,NA,NA,NA,NA,NA,NA
"76",76,"Durgam","2018",0,"Vilazodone (15mg)","Placebo","CDRS",1,1,"clinician",57.8,8.7,175,57.5,8.6,171,33.8,12,174,34,12.9,170,-22.9,11.87,174,-22.5,11.73,170,"CDRS ≥40% improvement from baseline",83,174,0.561,80,170,0.559,"post",8,"missing","missing","USA","12 to 17",14.9,1.6,14.9,1.7,15,NA,58.9,60.2,"mdd","52",NA,55,56,126,116,105,94
"77",77,"Durgam","2018",0,"Vilazodone (15mg)","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.2,1.2,174,2.4,1.1,170,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",98,174,0.563,92,170,0.541,"post",8,"missing","missing","USA","12 to 17",14.9,1.6,14.9,1.7,15,NA,58.9,60.2,"mdd","52",NA,NA,NA,NA,NA,NA,NA
"78",78,"Lundbeck","2020",0,"Vortioxetine (20mg)","Placebo","CDRS",1,1,"clinician",62.5,9.8,159,60.6,9.1,153,NA,NA,NA,NA,NA,NA,-18.9,14.14,139,-18.2,14.05,137,"CDRS ≥50% improvement",60,139,0.432,49,137,0.358,"post",12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.5,1.63,14.8,1.6,NA,NA,59.9,68.2,"mdd","124",NA,NA,NA,NA,NA,NA,NA
"79",79,"Lundbeck","2020",0,"Vortioxetine (20mg)","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.69,1.06,139,2.73,1.05,137,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.5,1.63,14.8,1.6,NA,NA,59.9,68.2,"mdd","124",NA,NA,NA,NA,NA,NA,NA
"80",80,"Lundbeck","2020",0,"Vortioxetine (10mg)","Placebo","CDRS",1,1,"clinician",61.2,9.4,145,60.6,9.1,153,NA,NA,NA,NA,NA,NA,-17.1,14.59,126,-18.2,14.05,137,"CDRS ≥50% improvement",53,126,0.421,49,137,0.358,"post",12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.8,1.66,14.8,1.6,NA,NA,63.3,68.2,"mdd","124",NA,NA,NA,NA,NA,NA,NA
"81",81,"Lundbeck","2020",0,"Vortioxetine (10mg)","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.81,1.12,126,2.73,1.05,137,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.8,1.66,14.8,1.6,NA,NA,63.3,68.2,"mdd","124",NA,NA,NA,NA,NA,NA,NA
"82",82,"Lundbeck","2020",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",61.8,8.9,150,60.6,9.1,153,NA,NA,NA,NA,NA,NA,-22,14.05,137,-18.2,14.05,137,"CDRS ≥50% improvement",68,137,0.496,49,137,0.358,"post",12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.8,1.6,14.8,1.6,NA,NA,67.3,68.2,"mdd","124",NA,NA,NA,NA,NA,NA,NA
"83",83,"Lundbeck","2020",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.5,1.05,137,2.73,1.05,137,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",12,"y","ADHD, Insomnia, Anxiety disorder, GAD, Social Anxiety Disorder","International (Bulgaria, Canada, Colombia, Estonia, France, Germany, Hungary, Italy, South Korea, Latvia, Mexico, Poland, Russia, Serbia, South Africa, Spain, Ukraine, UK, USA)","12 to 17",14.8,1.6,14.8,1.6,NA,NA,67.3,68.2,"mdd","124",NA,NA,NA,NA,NA,NA,NA
"84",84,"Findling","2020",0,"Vilazodone","Placebo","CDRS",1,1,"clinician",58.5,9.4,186,57.7,9.2,182,37.2,14.2,186,37.8,13.7,182,-20.7,13.6,186,-20.3,1,182,"CDRS ≥40% improvement from baseline",81,158,0.513,67,155,0.432,"post",8,"y","Learning disorders, ADHD, Communication disorders, oppositional defiant disorder, anxiety disorders","USA, Canada","7 to 17",13,2.9,13,2.9,13,NA,67.4,57,"mdd","60",NA,53,48,127,106,102,87
"85",85,"Findling","2020",0,"Vilazodone","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.5,0.1,186,2.5,0.1,182,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",8,"y","Learning disorders, ADHD, Communication disorders, oppositional defiant disorder, anxiety disorders","USA, Canada","7 to 17",13,2.9,13,2.9,13,NA,67.4,57,"mdd","60",NA,NA,NA,NA,NA,NA,NA
"86",86,"Findling","2020",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",58.1,8.3,97,57.7,9.2,182,34.7,12.8,97,37.8,13.7,182,-22.71,12.8,97,-20.3,1,182,"CDRS ≥40% improvement from baseline",46,84,0.548,67,155,0.432,"post",8,"y","Learning disorders, ADHD, Communication disorders, oppositional defiant disorder, anxiety disorders","USA, Canada","7 to 17",13.2,2.8,13,2.9,13,NA,52.6,57,"mdd","60",NA,35,41,69,96,46,98
"87",87,"Findling","2020",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,NA,NA,NA,NA,2.4,0.1,97,2.5,0.1,182,NA,NA,NA,NA,NA,NA,"missing",NA,NA,NA,NA,NA,NA,"post",8,"y","Learning disorders, ADHD, Communication disorders, oppositional defiant disorder, anxiety disorders","USA, Canada","7 to 17",13.2,2.8,13,2.9,13,NA,52.6,57,"mdd","60",NA,NA,NA,NA,NA,NA,NA
"88",88,"Le Noury","2015",0,"Paroxetine","Placebo","HAM-D",1,1,"clinician",18.9,4.24,93,19,4.1,87,NA,NA,NA,NA,NA,NA,-10.7,7.68,90,-9.1,0.83,87,"HAM-D score <8 or ≥50% improvement",60,90,0.6667,48,87,0.552,"post",8,"y","Anxiety disorder, Oppositional Defiant Disorder, Conduct Disorder, ADHD","USA, Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,60.3,52.6,"mdd","12",NA,NA,NA,NA,NA,NA,NA
"89",89,"Le Noury","2015",0,"Paroxetine","Placebo","K-SADS-L",0,0,"clinician",28.3,9.5,93,28.3,4.85,87,NA,NA,NA,NA,NA,NA,-11.4,7.65,83,-9.4,0.83,85,"NA",NA,NA,NA,NA,NA,NA,"post",8,"y","Anxiety disorder, Oppositional Defiant Disorder, Conduct Disorder, ADHD","USA, Canada","12 to 18",14.8,1.6,15.1,1.6,NA,NA,60.3,52.6,"mdd","12",NA,NA,NA,NA,NA,NA,NA
"90",90,"Le Noury","2015",0,"Imipramine","Placebo","HAM-D",1,1,"clinician",18.1,4.19,95,19,4.1,87,NA,NA,NA,NA,NA,NA,-9,7.85,94,-9.1,0.83,87,"HAM-D score ≤8 or ≥50% improvement",55,94,0.585,48,87,0.552,"post",8,"y","Anxiety disorder, Oppositional Defiant Disorder, Conduct Disorder, ADHD","USA, Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,69.6,52.6,"mdd","12",NA,NA,NA,NA,NA,NA,NA
"91",91,"Le Noury","2015",0,"Imipramine","Placebo","K-SADS-L",0,0,"clinician",27.5,4.97,95,28.3,4.85,87,NA,NA,NA,NA,NA,NA,-9.5,7.69,88,-9.4,0.83,85,"NA",NA,NA,NA,NA,NA,NA,"post",8,"y","Anxiety disorder, Oppositional Defiant Disorder, Conduct Disorder, ADHD","USA, Canada","12 to 18",14.9,1.6,15.1,1.6,NA,NA,69.6,52.6,"mdd","12",NA,NA,NA,NA,NA,NA,NA
"92",92,"Weihs","2018",0,"Desvenlafaxine","Placebo","CDRS",1,1,"clinician",56.337,9.585,115,57.06,8.91,112,NA,NA,NA,NA,NA,NA,-22.6,12.547,115,-23.1,12.488,112,"missing",NA,NA,NA,NA,NA,NA,"post",8,"y","ADHD, non-suicidal inurious behaviour, insomnia, generalised anxiety disorder, oppositional defiant disorder","USA, Mexico","7 to 17",12.869,1.46,12.65,1.425,NA,NA,55.139,57.5,"mdd","43",NA,NA,NA,NA,NA,NA,NA
"93",93,"Weihs","2018",0,"Desvenlafaxine","Placebo","CGI-I",0,0,"clinician",NA,NA,115,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",68,99,0.687,62,99,0.626,"post",8,"y","ADHD, non-suicidal inurious behaviour, insomnia, generalised anxiety disorder, oppositional defiant disorder","USA, Mexico","7 to 17",NA,NA,12.65,1.425,NA,NA,NA,57.5,"mdd","43",NA,NA,NA,NA,NA,NA,NA
"94",94,"Weihs","2018",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",56.256,8.34,112,57.06,8.91,112,NA,NA,NA,NA,NA,NA,-24.8,12.382,112,-23.1,12.488,112,"missing",NA,NA,NA,NA,NA,NA,"post",8,"y","ADHD, non-suicidal inurious behaviour, insomnia, generalised anxiety disorder, oppositional defiant disorder","USA, Mexico","7 to 17",12.65,1.479,12.65,1.425,NA,NA,50.74,57.5,"mdd","43",NA,NA,NA,NA,NA,NA,NA
"95",95,"Weihs","2018",0,"Fluoxetine","Placebo","CGI-I",0,0,"clinician",NA,NA,112,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CGI scale improvement rating of 1 or 2",79,101,0.782,62,99,0.626,"post",8,"y","ADHD, non-suicidal inurious behaviour, insomnia, generalised anxiety disorder, oppositional defiant disorder","USA, Mexico","7 to 17",NA,NA,12.65,1.425,NA,NA,NA,57.5,"mdd","43",NA,NA,NA,NA,NA,NA,NA
"96",96,"Forest","2020",0,"Levomilnacipran (40mg)","Placebo","CDRS",1,1,"clinician",61.8,NA,134,61.1,NA,140,NA,NA,115,NA,NA,118,-23.28,11.9,115,-22.9,11.84,118,"missing",NA,NA,NA,NA,NA,NA,"post",8,"n",NA,"USA, Puerto Rico","12 to 17",14.8,1.62,14.3,1.59,14.7,1.67,70.1,69.5,"mdd","49",NA,NA,NA,NA,NA,NA,NA
"97",97,"Forest","2020",0,"Levomilnacipran (80mg)","Placebo","CDRS",1,1,"clinician",59.4,NA,138,61.1,NA,140,NA,NA,110,NA,NA,118,-22.64,11.74,110,-22.9,11.84,118,"missing",NA,NA,NA,NA,NA,NA,"post",8,"n",NA,"USA, Puerto Rico","13 to 17",14.8,1.75,14.3,1.59,14.7,1.67,63,69.5,"mdd","49",NA,NA,NA,NA,NA,NA,NA
"98",98,"Forest","2020",0,"Fluoxetine","Placebo","CDRS",1,1,"clinician",61.5,NA,134,61.1,NA,140,NA,NA,112,NA,NA,118,-24.37,11.85,112,-22.9,11.84,118,"missing",NA,NA,NA,NA,NA,NA,"post",8,"n",NA,"USA, Puerto Rico","14 to 17",14.7,1.67,14.3,1.59,14.7,1.67,62.7,69.5,"mdd","49",NA,NA,NA,NA,NA,NA,NA
